true,predict
-12.611444473266602,-11.254837036132812
-12.464335441589355,-11.17757797241211
-12.228567123413086,-12.27068328857422
-12.132234573364258,-13.881011962890623
-11.948247909545898,-13.735746383666992
-11.687259674072266,-13.132400512695312
-11.556377410888672,-13.148765563964844
-11.51311206817627,-12.134550094604492
-11.51113224029541,-11.479183197021484
-11.379976272583008,-13.124334335327148
-11.344202995300291,-11.82505226135254
-11.322988510131836,-10.375656127929688
-11.277403831481934,-11.472892761230469
-11.263753890991213,-10.869831085205078
-11.199002265930176,-12.348352432250977
-11.179073333740234,-12.604249954223633
-11.175725936889648,-12.783032417297363
-11.148326873779297,-12.84124755859375
-11.128666877746582,-9.937776565551758
-11.078573226928713,-11.066295623779297
-11.071770668029783,-11.853832244873049
-10.99647331237793,-11.809913635253906
-10.986618995666504,-11.554698944091797
-10.962538719177246,-11.80445384979248
-10.855058670043944,-12.690961837768556
-10.650988578796388,-10.188682556152344
-10.64766788482666,-11.77567195892334
-10.62089729309082,-11.142748832702637
-10.579511642456056,-11.598648071289062
-10.57479190826416,-10.886882781982422
-10.546564102172852,-11.461835861206056
-10.49446964263916,-11.114014625549316
-10.482223510742188,-11.091438293457031
-10.464723587036133,-11.576617240905762
-10.44839572906494,-10.564330101013184
-10.437129974365234,-11.179842948913574
-10.429228782653809,-11.869321823120115
-10.422704696655272,-12.28571891784668
-10.361529350280762,-10.696145057678224
-10.346894264221191,-11.229942321777344
-10.312121391296388,-10.790459632873535
-10.195663452148438,-11.07114028930664
-10.18221664428711,-11.628368377685549
-10.159842491149902,-11.367819786071776
-10.152790069580078,-11.213191986083984
-10.14970588684082,-10.297308921813965
-10.143303871154783,-15.368040084838867
-10.132789611816406,-11.344013214111328
-10.11640453338623,-11.20386028289795
-10.115496635437012,-10.340880393981934
-10.084736824035645,-10.584527969360352
-10.074811935424805,-9.88243007659912
-10.055612564086914,-11.360692024230955
-10.049989700317385,-10.337980270385742
-10.04283618927002,-10.500865936279297
-10.024542808532717,-11.361078262329102
-10.011133193969728,-10.992471694946287
-10.010523796081545,-10.794459342956545
-9.982372283935549,-10.745827674865724
-9.98086166381836,-10.032715797424316
-9.962477684020996,-10.638001441955566
-9.874939918518066,-12.008008003234863
-9.86972427368164,-10.64765739440918
-9.856783866882324,-10.779399871826172
-9.854540824890137,-10.550965309143066
-9.820941925048828,-10.004881858825684
-9.82041072845459,-10.931866645812988
-9.814748764038086,-10.79586410522461
-9.80696964263916,-11.067635536193848
-9.806766510009766,-10.674625396728516
-9.802146911621094,-9.891853332519531
-9.784212112426758,-11.141803741455078
-9.770015716552734,-10.10349941253662
-9.763823509216309,-10.425397872924805
-9.718168258666992,-10.67860221862793
-9.714588165283203,-10.730180740356444
-9.711538314819336,-10.199492454528809
-9.70278549194336,-11.837163925170898
-9.70277976989746,-9.889604568481444
-9.688214302062988,-9.978887557983398
-9.685707092285156,-11.201617240905762
-9.677847862243652,-9.801877975463867
-9.6743803024292,-11.00608253479004
-9.673821449279783,-9.662611961364746
-9.660248756408691,-11.21656322479248
-9.65636157989502,-10.658571243286133
-9.655889511108398,-11.312785148620604
-9.639573097229004,-9.131393432617188
-9.634204864501951,-10.439358711242676
-9.63059425354004,-11.497167587280272
-9.6260347366333,-11.023780822753906
-9.616283416748049,-10.269126892089844
-9.591906547546388,-9.977155685424805
-9.586834907531738,-10.375158309936523
-9.576313972473145,-9.846418380737305
-9.573928833007812,-10.836772918701172
-9.573101997375488,-10.02462100982666
-9.567317962646484,-10.0675048828125
-9.565837860107422,-7.548674583435059
-9.565630912780762,-10.18427848815918
-9.5656099319458,-10.1193208694458
-9.556891441345217,-10.60038948059082
-9.538958549499512,-10.411599159240724
-9.532114028930664,-9.474138259887695
-9.505267143249512,-9.133260726928713
-9.504502296447754,-9.278095245361328
-9.482694625854492,-9.625574111938477
-9.477567672729492,-10.4530668258667
-9.451875686645508,-9.419501304626465
-9.451021194458008,-10.797547340393066
-9.443836212158203,-8.993326187133789
-9.4115629196167,-8.464194297790527
-9.403290748596191,-10.31269645690918
-9.39599895477295,-9.629878997802734
-9.392660140991213,-9.785259246826172
-9.390637397766112,-10.920621871948242
-9.384937286376951,-11.020172119140623
-9.382163047790527,-10.071969985961914
-9.350769996643066,-8.869976043701172
-9.34189796447754,-9.394332885742188
-9.329267501831056,-8.362634658813477
-9.32645034790039,-10.784302711486816
-9.315561294555664,-10.437454223632812
-9.314898490905762,-10.616096496582031
-9.311141967773438,-10.505979537963867
-9.2946195602417,-11.014566421508787
-9.294434547424316,-10.182822227478027
-9.29394245147705,-10.889480590820312
-9.276634216308594,-9.347973823547363
-9.271105766296388,-10.234460830688477
-9.265613555908203,-9.464519500732422
-9.256823539733888,-9.435096740722656
-9.22434425354004,-10.400218963623049
-9.22077465057373,-10.610052108764648
-9.20556926727295,-10.569570541381836
-9.201498985290527,-9.483808517456056
-9.196748733520508,-10.389864921569824
-9.189380645751951,-9.244020462036133
-9.188236236572266,-10.35213851928711
-9.16816520690918,-11.001782417297363
-9.155280113220217,-10.411336898803713
-9.152016639709473,-10.12957763671875
-9.13560962677002,-10.350624084472656
-9.133403778076172,-10.033157348632812
-9.128016471862791,-10.725102424621582
-9.126441955566406,-10.00752067565918
-9.124771118164062,-8.096904754638672
-9.11659049987793,-10.708178520202637
-9.111739158630373,-9.811535835266112
-9.11026382446289,-9.414515495300291
-9.105955123901367,-10.039182662963867
-9.104753494262695,-9.822381973266602
-9.095145225524902,-10.287437438964844
-9.094449043273926,-10.20427417755127
-9.093819618225098,-10.03468132019043
-9.091447830200195,-10.19422721862793
-9.090036392211914,-9.777015686035156
-9.084846496582031,-9.104071617126465
-9.08193016052246,-9.963241577148438
-9.073037147521973,-8.799836158752441
-9.070274353027344,-9.853710174560549
-9.069055557250977,-9.6510009765625
-9.066165924072266,-10.35276222229004
-9.06264877319336,-10.793658256530762
-9.053458213806152,-8.68842887878418
-9.051076889038086,-9.763348579406738
-9.043553352355955,-10.155752182006836
-9.03304386138916,-9.38743782043457
-9.024605751037598,-9.378170013427734
-9.023676872253418,-8.941267967224121
-9.020238876342772,-9.806711196899414
-9.010809898376465,-9.638405799865724
-9.009543418884276,-9.740812301635742
